id;"nome_pais,""quantidade"",""preco_medio"",""descricao_mais_longa""";
1;"South Africa,14,3920,""Toast and fresh hay aromas immediately waft from the glass, with supporting notes of red apple and spiced orange peel. Round and full in the mouth, it has good mousse and a soft honeyed accent that carries through onto the finish.""";
2;"Austria,38,19000,""You can feel the richness of this wine as it rolls opulently around the mouth. The Grüner spice character is dominant, giving intense concentration to go with the yellow fruits. Acidity is a balanced addition to the mix on this impressive wine.""";
3;"Italy,4,18400,""This wine shows growing intensity the longer it stays in the glass and a very silky, polished feel in the mouth. Aromas include red fruit, spice and rosemary: this is a beautiful, balanced wine that will have a long life in your cellar.""";
4;"US,1003,421260,""Zin hardly gets riper or fruitier than this. Blended with a little Petite Sirah, which accounts for the tannins and depth, it's jam-packed with wild berries, currants, licorice, cocoa, black pepper and sandalwood, while high alcohol gives it a rich, glycerine mouthfeel.""";
5;"Spain,2,1120,""Smooth and lightly roasted on the bouquet, this has tobacco, cola, fine oak and earthy berry aromas. It feels generous but a little soft and syrupy, with raisin, licorice and savory baked-fruit flavors. The finish is long and continues to be savory tasting. Drink now–2014.""";
6;"Romania,1,300,""There's a striking minerality that adds depth to varietally characteristic scents of ripe cassis, violets and cedar. Full bodied and densely concentrated, with sweet, black-fruit flavor, it's balanced by brisk acidity and fresh herb flavors that linger on the finish.""";
7;"Italy,503,95570,""Yellow flower, ripe orchard fruit and aromatic herb aromas take center stage while the ripe, round palate offers mature yellow apple and candied lemon notes. A hint of bitter almond finish marks the close.""";
8;"Spain,230,39100,""You wouldn't call this wine “clean and polished.” It has some old country brett along with fig, earth, mushroom and liqueur on the nose. That said, it's dishing up heavy servings of chocolate and baked berry pie flavors. A big, bulky wine that's already losing clarity. This won't be for everyone.""";
9;"Slovenia,3,690,""This orange-style wine is dark straw in color and has jasmine and vanilla tones on the nose, while flavors of canned apricots and fresh peaches drive the palate. There's a soft and sensuous finish, due to the 18 month barrels aging.""";
10;"Spain,1,1420,""There's no denying the wine's power and intensity. It's concentrated like a cement block, with richness, plummy aromas, sweetness and char. But it's also candied and ultrarich in the mouth, with syrupy flavors of berry extract, cola and chocolate. A heavy wine that shows every ounce of its 15.5% alcohol. Ultimately it's more sweet and powerful than it is precise. Drink now through 2013.""";
11;"Spain,1,1880,""Valbuena is Vega Sicilia's so-called second wine, and this vintage is elegant and lithe. To equate it to Burgundian Pinot Noir is not a stretch, seeing that the nose is earthy and dry, with fresh flowers, leather and tobacco aromas. The palate is light and full of finesse, with airy cranberry, earth and cherry flavors. From a poor vintage, this is more than admirable. A Europvin, Christopher Cannan selection, imported by multiple importers, including Michael Skurnik Wines.""";
12;"France,7,6160,""With seven years on lees before disgorgement, this wine already shows some maturity. It is rich while also having the intense acidity of the vintage. Turning to gold in color, it is balanced and dry as with all the Paillard wines, although with age that character becomes less obvious. Drink now for the fruit or until 2024.""";
13;"Argentina,1,40,""Crimson in color but also translucent, with a candied, slightly green nose. Overall this is a simple quaffer with no excess weight and reasonably good flavors of berry and plum. Bland on the finish, but for $4 who's caring about finish?""";
14;"Spain,1,2470,""Aurus defines awesome modern Rioja. The nose is floral and decked out with wild berry aromas, marzipan, vanilla and hard spices. The palate is powerful and tannic, with bold cassis, raspberry, cherry, coffee and chocolate flavors. Beautifully crafted and with a nice red fruit element courtesy of 15% Graciano to go with old vines Tempranillo. Drink from 2012–2021.""";
15;"Australia,1,620,""This is a herbaceous expression of Shiraz from the under appreciated Heathcote region of Victoria, and made by Emily Laughton, daughter of the well-regarded Jasper Hill family. Mint and green herbs mingle with potpourri, juicy fruit, and charred oak characters. Tannins are tightly wound at the moment, but the wine is well balanced and here for the long haul. Drink 2020–2032.""";
16;"Moldova,1,230,""This golden colored ice wine is made from Riesling and has aromas of honeydew melon, apple, peach and honeysuckle blossoms. In the mouth, there are flavors of apricot, cantaloupe and white peach with a nice level of acidity to balance the sweet finish.""";
17;"Spain,1,1030,""This 10-year-old wine from a hot vintage is soft and plump but has gaps in its fiber. The mouth is tannic around the edges but lacks stuffing, while flavors of plum and berry run jammy and heavy. A hollow finish with prune flavors and dry tannins is the final act.""";
18;"France,1,5950,""A beautifully balanced wine that exudes elegance as well as richness. It is drier than previous vintages of Cristal Rosé, yielding a bright, crisp and layered wine. Red fruits are married with orange zest and tight acidity. It can be drunk now, but it is a young wine and will certainly age well through 2022.""";
19;"New Zealand,2,760,""Winemaker Matt Dicey has teased out Pinot Noir's silky texture and ample complexity in this wine, one of his finest to date. Cherry fruit hints at rose petals and picks up subtle earth and spice shadings on the palate, finishing with elegance and class. Drink now–2012, although its balance may permit it to hold for several more years after that.""";
20;"Italy,7,7840,""Vigna Cerretta shapes a smoky wine with notes of black fruit, road tar, licorice and spice. The wine presents an upfront layer of aromas but doesn't offer as much depth after that. Give it time to find harmony and loosen its tight tannins. Drink after 2015.""";
21;"Chile,7,8750,""This ripe, dark Maipo Syrah opens with slightly generic aromas of blackberry and black cherry. Rich, resiny and creamy on the palate, this tastes oaky at first";
22;"Italy,2,7500,""You can smell those distinctive notes from the muffa nobile, or botrytis, that has shaped a deep and layered wine with notes of peach fuzz, candied fruit, apricot and white almond. The wine is sweet, but not exaggeratedly so, and has a bright, elegant mouthfeel.""";
23;"France,3,4980,""Very terroir-driven from chalk soil in this great vineyard, this firmly structured wine is powerful and solid. There is a mineral character at this stage of the wine's development, with 60% new wood giving a lightly smoky feel. Drink from 2017.""";
24;"Germany,3,2970,""Billowing with scents of marmalade, wildflower honey and raspberry preserves, this is an intoxicatingly perfumed TBA, but the palate doesn't disappoint either. Rich and creamy with undulating streaks of peach preserve and tangerine, it lingers on and on, with its tea and honey-kissed finish.""";
25;"Portugal,1,4990,""Harvested the year a princess became Queen Elizabeth II, this wine aged in oak until now. Bottled in 2016, this is a deep old-gold colored wine. On the palate, it is rich and sweet, with flavors of wood contrasting with the beautiful raisin and prune flavors. It is still impressively fresh and vibrant. It is, of course, ready to drink now.""";
26;"England,1,950,""Oatmeal, chalk and bread crust form the first impression. On the palate they play upon a tart and lively freshness and round out crisp, green apple fruit. Together they fill the palate while gentle fizz illuminates more of the bready, stony flavors. Restraint is the central theme here.""";
27;"Australia,3,4350,""One of Australia's most expensive and sought-after Cabernet blends, Mount Mary's Quintet has failed to impress more than one American critic. It's an appealing, well-crafted wine that combines leather, cherry and dried herbs in a somewhat lean, crisp style that delivers a long, mineral-and-cedar finish.""";
28;"US,1,4000,""This 100% Cabernet Sauvignon was aged for 26 months in 50% new French oak. The mouthfeel is soft and luxurious. This wine was bottled only in magnums, and it's gorgeous and delicious, with classic blackberry, cherry, currant and dark chocolate flavors. Despite its full body, the wine has an elegant silkiness that's light and feathery. This is clearly the greatest Cabernet Clos du Val has ever produced. Drink now–2026.""";
29;"Austria,1,860,""Kracher TBA wines are numbered in ascending order of intensity. Even at this medium level of intensity, this is an impressive wine. It has that fine balance, pushing its rich marmalade and dried apricot flavors right up to intense acidity. The wine is certainly full, but keeps a delicacy and great lightness of touch.""";
30;"Canada,12,2160,""With its intense scents and flavors of orange candy, Muscat is often made in a sweet style, but here it shows its dry side, and to good effect. Bright and penetrating scents and flavors hit on the entire spectrum of oranges, with excellent weight, precision and concentration. A touch of candied ginger adds further interest.""";
31;"Argentina,4,2720,""This single-vineyard Malbec blend from vineyards that sit at 6,500 feet smells dark, grilled and rubbery, but also meaty and full of fruit. A full, lush palate avoids fierceness and lays on the richness. Toasty, lightly herbal berry and plum flavors are highly appealing. The wine tastes of herbs, salted meat and spices on a complex finish. Drink through 2024.""";
